Age,Feeling sad or Tearful,Irritable towards partner,Trouble sleeping at night,Problems concentrating or making decision,Overeating or loss of appetite,Feeling anxious,Feeling of guilt,Problems of bonding 
18-30,Yes,Yes,Two or more days a week,Yes,Yes,Yes,No,Yes
30-40,Yes,No,No,Yes,Yes,No,Yes,Yes
18-30,Yes,No,Yes,Yes,Yes,Yes,No,Sometimes
18-30,Yes,Yes,Yes,Yes,No,Yes,Maybe,No
30-40,Yes,No,Two or more days a week,Yes,No,Yes,No,Yes
40-45,No,No,Yes,Yes,Yes,Yes,No,No
30-40,No,Yes,No,No,No,Yes,No,No
18-30,Yes,No,Yes,Yes,No,Yes,No,No
18-30,Yes,Yes,No,Yes,No,No,No,No
40-45,Sometimes,Yes,Two or more days a week,No,Yes,Yes,No,Sometimes
40-45,Yes,Sometimes,Two or more days a week,No,Yes,No,Yes,No
18-30,No,Yes,Two or more days a week,Yes,Yes,Yes,Yes,No
30-40,Yes,No,No,Yes,No,Yes,No,No
45-50,No,Yes,No,Yes,No,Yes,Maybe,Yes
45-50,No,No,No,Yes,No,Yes,No,Sometimes
40-45,Yes,No,Yes,No,Yes,Yes,No,Yes
18-30,Sometimes,Sometimes,Yes,Often,Yes,No,Yes,Yes
30-40,Yes,Yes,Two or more days a week,No,Yes,No,No,Sometimes
30-40,Sometimes,Sometimes,Two or more days a week,No,Yes,Yes,Yes,No
45-50,Sometimes,Sometimes,Two or more days a week,Yes,Yes,Yes,Maybe,Sometimes
40-45,No,No,Yes,No,Not at all,Yes,No,Yes
40-45,No,Yes,Two or more days a week,Yes,No,Yes,No,No
45-50,Sometimes,Sometimes,Yes,Yes,No,Yes,No,No
30-40,Sometimes,Yes,No,Yes,No,No,Yes,No
45-50,No,Sometimes,No,Yes,No,No,No,No
30-40,Yes,Sometimes,Two or more days a week,Often,Yes,No,Maybe,Sometimes
40-45,No,No,Yes,Often,No,Yes,No,No
30-40,Yes,Sometimes,Two or more days a week,Yes,No,No,Yes,Yes
18-30,Yes,Sometimes,Yes,Yes,Yes,No,Maybe,Sometimes
30-40,Sometimes,Yes,No,Yes,No,Yes,No,Sometimes
18-30,Yes,Yes,No,Often,Not at all,Yes,No,Sometimes
45-50,Sometimes,Yes,Two or more days a week,No,No,Yes,Yes,Yes
18-30,Yes,Sometimes,Yes,Yes,Not at all,Yes,Maybe,Sometimes
40-45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18-30,No,No,Yes,No,No,Yes,Yes,No
40-45,Sometimes,Sometimes,Yes,Often,Not at all,Yes,Maybe,Yes
45-50,Sometimes,Yes,Yes,No,Not at all,No,No,Yes
30-40,No,Sometimes,Yes,Often,Not at all,Yes,Maybe,Yes
18-30,Sometimes,Yes,Two or more days a week,Often,Yes,No,Yes,Sometimes
18-30,No,Sometimes,Yes,No,Yes,No,Yes,No
30-40,Yes,No,Two or more days a week,Yes,No,No,Maybe,Sometimes
18-30,Yes,Yes,Yes,Often,Yes,No,Maybe,No
30-40,Yes,Sometimes,Two or more days a week,No,Yes,No,Maybe,Sometimes
40-45,Yes,No,Two or more days a week,No,Not at all,Yes,No,Sometimes
18-30,Sometimes,Yes,Two or more days a week,Yes,No,Yes,Maybe,Sometimes
40-45,Yes,Yes,No,Often,Not at all,Yes,Maybe,Sometimes
45-50,Yes,No,Two or more days a week,No,No,Yes,Maybe,Sometimes
30-40,Sometimes,No,No,Often,No,Yes,Maybe,Yes
45-50,No,Sometimes,Two or more days a week,No,No,No,Yes,No
30-40,No,Sometimes,Yes,Often,No,Yes,No,No
30-40,Sometimes,Sometimes,Two or more days a week,No,No,No,Maybe,No
30-40,No,Yes,Two or more days a week,No,No,Yes,No,No
45-50,Yes,No,No,Often,Yes,Yes,No,Sometimes
40-45,Sometimes,Yes,No,Often,Not at all,Yes,No,Sometimes
18-30,No,Yes,Two or more days a week,Yes,No,Yes,No,Yes
18-30,Yes,Yes,Two or more days a week,Yes,Yes,No,Yes,No
18-30,Yes,No,No,Yes,No,Yes,Maybe,Yes
40-45,No,No,No,Yes,Not at all,No,Yes,Sometimes
18-30,Yes,Yes,No,Yes,No,Yes,No,Sometimes
30-40,Sometimes,Yes,Yes,Often,Not at all,No,No,Yes
30-40,No,Yes,No,Often,Not at all,No,Yes,No
30-40,Yes,No,Yes,No,No,No,Yes,No
18-30,Yes,No,No,Often,Not at all,Yes,No,Sometimes
30-40,No,No,Two or more days a week,Often,No,Yes,Yes,Sometimes
40-45,Sometimes,No,Yes,No,No,No,Yes,Yes
40-45,No,No,Yes,Yes,Yes,Yes,Maybe,No
45-50,Sometimes,Yes,Yes,No,No,Yes,Yes,Sometimes
45-50,Yes,No,Yes,No,Not at all,Yes,No,Yes
18-30,Yes,Yes,Yes,No,Not at all,No,Yes,No
30-40,No,Sometimes,Yes,No,No,No,Maybe,Sometimes
45-50,Sometimes,No,Yes,No,No,Yes,Maybe,Sometimes
18-30,Sometimes,No,No,Yes,No,No,Yes,Yes
45-50,Yes,No,No,Yes,No,No,Yes,No
45-50,No,No,Yes,No,No,Yes,Maybe,No
40-45,No,No,No,No,Yes,No,Yes,No
40-45,No,No,Two or more days a week,Often,Yes,No,Yes,Sometimes
40-45,Sometimes,No,Yes,No,Yes,No,Yes,No
40-45,Sometimes,Yes,Yes,No,Yes,No,Yes,No
40-45,No,Sometimes,No,Often,No,Yes,Maybe,Sometimes
30-40,No,Yes,No,Yes,No,Yes,No,Yes
45-50,Sometimes,Yes,Two or more days a week,Yes,Not at all,Yes,Maybe,Yes
30-40,No,Yes,Two or more days a week,No,Yes,No,Yes,Sometimes
45-50,No,No,Yes,Yes,No,Yes,No,Yes
45-50,No,Yes,Two or more days a week,No,Not at all,Yes,No,Yes
30-40,No,Yes,No,Yes,No,No,Maybe,Sometimes
45-50,No,No,No,No,No,No,Yes,No
30-40,No,Yes,No,Often,Not at all,Yes,Maybe,Sometimes
40-45,No,Yes,Two or more days a week,Often,Not at all,Yes,Maybe,Sometimes
45-50,Yes,Sometimes,No,Yes,Not at all,Yes,No,Sometimes
45-50,Yes,No,Yes,No,Yes,No,Yes,No
18-30,Yes,No,Yes,No,Yes,No,Yes,No
40-45,No,Yes,No,Yes,Not at all,No,Maybe,Sometimes
18-30,No,No,No,No,Not at all,Yes,Maybe,No
45-50,Yes,Yes,No,Yes,No,Yes,Maybe,Sometimes
40-45,No,Yes,Two or more days a week,Yes,No,Yes,No,Yes
40-45,No,Yes,Two or more days a week,Often,Not at all,Yes,No,Sometimes
40-45,No,Yes,No,Often,Yes,Yes,Maybe,Yes
30-40,No,Yes,No,Yes,Not at all,No,Yes,No
40-45,No,Sometimes,Yes,No,Yes,No,No,Yes
40-45,No,Yes,No,No,Yes,No,No,Yes
40-45,No,Yes,Yes,No,Yes,No,Yes,No
40-45,Sometimes,Yes,Two or more days a week,Yes,No,Yes,No,Yes
40-45,Yes,Sometimes,Yes,No,Yes,No,Yes,Yes
40-45,No,No,No,Yes,Yes,No,Yes,Sometimes
18-30,Yes,No,Yes,No,Not at all,No,No,No
40-45,Yes,No,Yes,No,Not at all,No,Yes,No
18-30,No,Yes,Yes,No,Yes,No,Yes,No
40-45,Sometimes,No,Yes,Often,No,Yes,No,No
45-50,No,Yes,Two or more days a week,Yes,Not at all,Yes,Maybe,Sometimes
18-30,No,Yes,No,Yes,No,Yes,No,Sometimes
18-30,Yes,No,Yes,Often,No,Yes,No,Sometimes
18-30,Yes,No,Yes,Often,Yes,Yes,Yes,Sometimes
18-30,No,Yes,Two or more days a week,Yes,No,Yes,No,No
30-40,Sometimes,Yes,No,Yes,Not at all,Yes,Maybe,Yes
30-40,Yes,No,Yes,No,Yes,Yes,No,Sometimes
30-40,Yes,No,Yes,No,Yes,No,Yes,Sometimes
45-50,Sometimes,No,Yes,Often,No,Yes,No,Sometimes
18-30,No,Yes,No,Yes,No,Yes,Yes,No
18-30,Sometimes,Yes,No,Yes,No,Yes,Maybe,Yes
40-45,No,Sometimes,Yes,Yes,Yes,No,No,Yes
30-40,Yes,Sometimes,No,Yes,No,No,Yes,No
45-50,Yes,No,Two or more days a week,Yes,No,No,Yes,No
45-50,Sometimes,Sometimes,Yes,Often,Yes,No,Maybe,Yes
25-30,Yes,No,Yes,No,Yes,Yes,Yes,Sometimes
25-30,Yes,No,Yes,Yes,Yes,Yes,Yes,No
25-30,Sometimes,Sometimes,Two or more days a week,No,Not at all,Yes,No,No
25-30,Yes,Yes,No,Yes,No,Yes,Maybe,Sometimes
40-45,Yes,No,Yes,Often,Not at all,Yes,Maybe,Yes
25-30,Yes,No,Yes,No,Not at all,No,No,Yes
25-30,No,No,Yes,Often,No,No,Yes,Yes
40-45,Sometimes,Yes,Two or more days a week,No,No,No,Maybe,Yes
25-30,Sometimes,Yes,Yes,No,Yes,Yes,Maybe,Sometimes
40-45,Yes,No,No,Yes,Yes,Yes,Maybe,Sometimes
30-40,Yes,Yes,No,Often,Not at all,No,Yes,Sometimes
30-40,Yes,Sometimes,Two or more days a week,No,Yes,Yes,No,Sometimes
30-40,Yes,Sometimes,No,No,Yes,No,Yes,Yes
25-30,No,Sometimes,No,No,Not at all,Yes,No,No
40-45,Yes,Sometimes,Yes,Often,No,Yes,Maybe,No
30-40,Yes,No,Two or more days a week,Yes,Not at all,No,Maybe,Yes
30-40,Yes,No,Yes,Yes,Yes,No,Yes,Sometimes
18-30,Yes,No,Yes,Yes,No,No,Yes,Yes
45-50,Yes,Yes,No,No,Not at all,Yes,Maybe,No
25-30,Yes,No,No,No,Not at all,No,Yes,Sometimes
40-45,No,No,Yes,Often,No,Yes,No,Yes
30-40,Yes,Sometimes,No,Yes,No,No,No,Yes
25-30,Sometimes,Sometimes,Two or more days a week,Often,Not at all,No,Yes,Sometimes
40-45,Sometimes,No,No,Yes,No,Yes,No,Sometimes
30-40,No,Yes,Two or more days a week,No,Not at all,No,Yes,Yes
25-30,Yes,Sometimes,No,Yes,Yes,No,No,Yes
30-40,Yes,No,No,No,Not at all,Yes,Maybe,Yes
25-30,No,Yes,No,Yes,Yes,No,No,No
18-30,Yes,No,Yes,Often,Yes,No,Maybe,Sometimes
30-40,No,Sometimes,Yes,Often,No,No,Yes,Sometimes
30-40,No,Yes,No,No,No,Yes,No,Yes
30-40,Yes,No,Yes,Yes,No,No,Maybe,No
40-45,Sometimes,Yes,No,No,Yes,No,Maybe,Yes
18-30,Sometimes,Yes,Yes,No,Yes,No,Yes,Sometimes
25-30,Sometimes,Sometimes,Yes,Often,Yes,Yes,Maybe,Sometimes
18-30,Sometimes,No,Yes,Yes,Not at all,No,Yes,Yes
45-50,No,Sometimes,Two or more days a week,No,Not at all,No,Maybe,Sometimes
18-30,Yes,No,Two or more days a week,Yes,No,No,Maybe,Yes
18-30,Yes,No,Two or more days a week,Often,Not at all,Yes,Maybe,Yes
30-40,No,Yes,Two or more days a week,Yes,No,Yes,No,Yes
30-40,No,Sometimes,No,No,No,Yes,Yes,Yes
30-40,Yes,No,Yes,Often,Yes,Yes,Yes,Sometimes
18-30,Sometimes,Sometimes,No,Yes,No,No,No,No
40-45,No,Sometimes,Two or more days a week,Often,No,No,Yes,No
18-30,Sometimes,No,Yes,No,No,No,Yes,No
40-45,Yes,No,Two or more days a week,No,Not at all,No,Yes,No
45-50,Yes,No,Two or more days a week,Yes,Not at all,No,Yes,Sometimes
18-30,No,Yes,Yes,Often,Not at all,Yes,Yes,No
18-30,Sometimes,No,Yes,Often,Not at all,Yes,No,Sometimes
45-50,Yes,Sometimes,Two or more days a week,Yes,Not at all,Yes,Yes,No
30-40,No,Sometimes,Two or more days a week,No,Not at all,Yes,Maybe,No
45-50,Sometimes,No,No,Yes,Yes,No,No,Sometimes
45-50,No,Yes,No,Yes,Not at all,Yes,Maybe,No
30-40,No,Yes,Yes,No,Not at all,No,Maybe,No
18-30,Sometimes,No,Two or more days a week,No,No,No,Yes,Sometimes
45-50,Yes,No,Yes,Often,No,Yes,Maybe,Yes
40-45,Sometimes,No,Yes,No,No,Yes,Maybe,Sometimes
25-30,Sometimes,No,Two or more days a week,No,Yes,No,No,Sometimes
25-30,Sometimes,Yes,Yes,Often,Not at all,No,Yes,Sometimes
25-30,No,Yes,No,No,Not at all,No,Yes,Yes
45-50,No,Sometimes,Two or more days a week,No,No,No,No,Yes
18-30,Sometimes,Yes,Yes,No,Yes,No,Yes,No
25-30,Yes,No,No,Yes,Not at all,No,Yes,Yes
40-45,No,Sometimes,Two or more days a week,No,Yes,No,Maybe,Sometimes
25-30,Sometimes,No,No,Often,Yes,No,Maybe,Sometimes
25-30,No,No,Two or more days a week,Yes,No,No,Maybe,No
45-50,Yes,No,Yes,Often,No,Yes,No,Yes
25-30,Sometimes,No,Two or more days a week,No,Not at all,Yes,No,No
18-30,Yes,No,Yes,Often,Not at all,Yes,No,Yes
30-40,Yes,No,Yes,Yes,Not at all,No,Yes,No
45-50,No,No,Yes,Often,No,Yes,Maybe,Yes
25-30,No,Yes,No,Yes,Not at all,No,Yes,No
30-40,Yes,No,No,Yes,Not at all,No,Yes,No
40-45,No,Sometimes,Two or more days a week,Often,No,Yes,No,Sometimes
25-30,Sometimes,No,Yes,No,Yes,No,Yes,No
18-30,Yes,Sometimes,Yes,Yes,No,No,Yes,No
45-50,Yes,No,No,Yes,No,Yes,Maybe,Yes
25-30,No,Sometimes,Yes,No,No,Yes,Maybe,Sometimes
30-40,No,No,Two or more days a week,Yes,No,Yes,No,Yes
40-45,Yes,Yes,Two or more days a week,Yes,No,No,Yes,Yes
30-40,No,No,Yes,Yes,Yes,Yes,No,Yes
18-30,Yes,Yes,Two or more days a week,Yes,No,Yes,Maybe,Yes
30-40,Yes,Yes,Yes,Yes,No,Yes,No,No
18-30,Sometimes,Sometimes,No,No,No,Yes,No,Yes
45-50,Yes,Yes,No,Yes,Yes,Yes,No,No
18-30,Sometimes,Sometimes,Two or more days a week,Yes,Yes,Yes,No,Yes
40-45,Yes,Yes,Yes,No,Yes,No,No,Yes
18-30,Yes,Yes,Two or more days a week,No,No,Yes,No,Sometimes
40-45,No,No,Yes,Yes,No,No,Yes,Yes
18-30,Sometimes,Sometimes,No,Yes,Yes,Yes,Yes,Sometimes
40-45,Sometimes,Sometimes,No,Yes,No,Yes,No,Yes
45-50,No,No,Two or more days a week,Yes,Not at all,Yes,Maybe,Yes
30-40,Sometimes,Sometimes,Yes,No,No,Yes,No,No
18-30,No,No,Yes,Often,Not at all,Yes,No,Sometimes
18-30,Yes,Yes,Yes,No,Yes,Yes,Yes,Sometimes
30-40,Yes,Yes,Yes,No,No,Yes,No,No
18-30,Yes,Yes,Yes,Yes,Not at all,No,Yes,Sometimes
30-40,Yes,Yes,Yes,No,Not at all,Yes,Maybe,No
45-50,Sometimes,No,Yes,No,Not at all,No,No,Sometimes
40-45,Yes,Yes,No,Yes,No,Yes,Maybe,No
25-30,Sometimes,Yes,Two or more days a week,Yes,No,No,Maybe,No
25-30,Sometimes,Sometimes,Yes,Yes,No,No,Yes,Sometimes
25-30,Sometimes,Yes,Two or more days a week,Yes,Yes,Yes,Maybe,Yes
45-50,No,No,Two or more days a week,Yes,Not at all,Yes,Maybe,Sometimes
18-30,No,Sometimes,Yes,No,Not at all,No,No,Sometimes
25-30,Sometimes,No,Yes,Yes,No,No,Yes,Sometimes
40-45,Yes,No,Two or more days a week,Yes,Yes,No,Yes,Yes
25-30,No,No,Two or more days a week,No,Not at all,No,No,Yes
25-30,Sometimes,No,No,No,Yes,No,Yes,No
45-50,No,No,No,Yes,Yes,No,Yes,Yes
25-30,Yes,No,Yes,Yes,No,No,Maybe,Sometimes
18-30,Sometimes,No,Two or more days a week,Yes,No,No,Maybe,Sometimes
30-40,Yes,Yes,Yes,Yes,Not at all,No,Maybe,No
45-50,Yes,No,Yes,No,Not at all,Yes,No,Yes
25-30,No,Sometimes,Two or more days a week,Often,Not at all,Yes,No,No
30-40,No,No,Yes,No,No,Yes,No,Yes
40-45,Yes,Sometimes,No,No,Not at all,No,Yes,No
25-30,No,No,Two or more days a week,Yes,Not at all,Yes,Maybe,Yes
18-30,Sometimes,Sometimes,Yes,No,No,No,Yes,No
45-50,Yes,No,No,No,Yes,No,Yes,No
25-30,Yes,Yes,Two or more days a week,Yes,No,Yes,No,Sometimes
30-40,No,No,No,Often,No,No,Yes,No
40-45,No,Yes,Two or more days a week,Yes,No,No,Yes,No
30-40,Yes,Yes,Yes,No,No,Yes,Maybe,Yes
18-30,No,Sometimes,Two or more days a week,Often,No,Yes,Maybe,Sometimes
30-40,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
18-30,Yes,Sometimes,Yes,Often,No,No,Yes,Yes
45-50,Sometimes,Yes,Yes,No,No,Yes,No,Yes
18-30,Yes,Yes,No,No,No,Yes,Maybe,Yes
40-45,Sometimes,No,No,Yes,Yes,Yes,No,No
18-30,Yes,Sometimes,Two or more days a week,Often,Yes,Yes,No,Yes
40-45,Yes,Sometimes,Yes,Often,Yes,Yes,No,No
18-30,No,No,Yes,Yes,No,Yes,No,Yes
40-45,Sometimes,Sometimes,No,No,No,No,No,Yes
45-50,Sometimes,No,Yes,Yes,Yes,Yes,No,Sometimes
30-40,No,Yes,Two or more days a week,Yes,No,No,Yes,Yes
18-30,Sometimes,Yes,Two or more days a week,No,Not at all,Yes,Yes,Sometimes
18-30,No,Yes,Yes,,No,Yes,No,Yes
30-40,Yes,Yes,Two or more days a week,,Not at all,Yes,,Yes
18-30,Yes,,Yes,,Yes,Yes,,No
30-40,Yes,,No,,No,Yes,,Sometimes
18-30,Yes,Yes,Two or more days a week,Yes,Yes,Yes,No,Yes
30-40,Yes,No,No,Yes,Yes,No,Yes,Yes
18-30,Yes,No,Yes,Yes,Yes,Yes,No,Sometimes
18-30,Yes,Yes,Yes,Yes,No,Yes,Maybe,No
30-40,Yes,No,Two or more days a week,Yes,No,Yes,No,Yes
40-45,No,No,Yes,Yes,Yes,Yes,No,No
30-40,No,Yes,No,No,No,Yes,No,No
18-30,Yes,No,Yes,Yes,No,Yes,No,No
18-30,Yes,Yes,No,Yes,No,No,No,No
40-45,Sometimes,Yes,Two or more days a week,No,Yes,Yes,No,Sometimes
40-45,Yes,Sometimes,Two or more days a week,No,Yes,No,Yes,No
18-30,No,Yes,Two or more days a week,Yes,Yes,Yes,Yes,No
30-40,Yes,No,No,Yes,No,Yes,No,No
45-50,No,Yes,No,Yes,No,Yes,Maybe,Yes
45-50,No,No,No,Yes,No,Yes,No,Sometimes
40-45,Yes,No,Yes,No,Yes,Yes,No,Yes
18-30,Sometimes,Sometimes,Yes,Often,Yes,No,Yes,Yes
30-40,Yes,Yes,Two or more days a week,No,Yes,No,No,Sometimes
30-40,Sometimes,Sometimes,Two or more days a week,No,Yes,Yes,Yes,No
45-50,Sometimes,Sometimes,Two or more days a week,Yes,Yes,Yes,Maybe,Sometimes
40-45,No,No,Yes,No,Not at all,Yes,No,Yes
40-45,No,Yes,Two or more days a week,Yes,No,Yes,No,No
45-50,Sometimes,Sometimes,Yes,Yes,No,Yes,No,No
30-40,Sometimes,Yes,No,Yes,No,No,Yes,No
45-50,No,Sometimes,No,Yes,No,No,No,No
30-40,Yes,Sometimes,Two or more days a week,Often,Yes,No,Maybe,Sometimes
40-45,No,No,Yes,Often,No,Yes,No,No
30-40,Yes,Sometimes,Two or more days a week,Yes,No,No,Yes,Yes
18-30,Yes,Sometimes,Yes,Yes,Yes,No,Maybe,Sometimes
30-40,Sometimes,Yes,No,Yes,No,Yes,No,Sometimes
18-30,Yes,Yes,No,Often,Not at all,Yes,No,Sometimes
45-50,Sometimes,Yes,Two or more days a week,No,No,Yes,Yes,Yes
18-30,Yes,Sometimes,Yes,Yes,Not at all,Yes,Maybe,Sometimes
40-45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
18-30,No,No,Yes,No,No,Yes,Yes,No
40-45,Sometimes,Sometimes,Yes,Often,Not at all,Yes,Maybe,Yes
45-50,Sometimes,Yes,Yes,No,Not at all,No,No,Yes
30-40,No,Sometimes,Yes,Often,Not at all,Yes,Maybe,Yes
18-30,Sometimes,Yes,Two or more days a week,Often,Yes,No,Yes,Sometimes
18-30,No,Sometimes,Yes,No,Yes,No,Yes,No
30-40,Yes,No,Two or more days a week,Yes,No,No,Maybe,Sometimes
18-30,Yes,Yes,Yes,Often,Yes,No,Maybe,No
30-40,Yes,Sometimes,Two or more days a week,No,Yes,No,Maybe,Sometimes
40-45,Yes,No,Two or more days a week,No,Not at all,Yes,No,Sometimes
18-30,Sometimes,Yes,Two or more days a week,Yes,No,Yes,Maybe,Sometimes
40-45,Yes,Yes,No,Often,Not at all,Yes,Maybe,Sometimes
45-50,Yes,No,Two or more days a week,No,No,Yes,Maybe,Sometimes
30-40,Sometimes,No,No,Often,No,Yes,Maybe,Yes
45-50,No,Sometimes,Two or more days a week,No,No,No,Yes,No
30-40,No,Sometimes,Yes,Often,No,Yes,No,No
30-40,Sometimes,Sometimes,Two or more days a week,No,No,No,Maybe,No
30-40,No,Yes,Two or more days a week,No,No,Yes,No,No
45-50,Yes,No,No,Often,Yes,Yes,No,Sometimes
40-45,Sometimes,Yes,No,Often,Not at all,Yes,No,Sometimes
18-30,No,Yes,Two or more days a week,Yes,No,Yes,No,Yes
18-30,Yes,No,Two or more days a week,No,No,Yes,Maybe,Sometimes
18-30,Sometimes,No,No,Often,No,Yes,Maybe,Yes
40-45,No,Sometimes,Two or more days a week,No,No,No,Yes,No
18-30,No,Sometimes,Yes,Often,No,Yes,No,No
30-40,Sometimes,Sometimes,Two or more days a week,No,No,No,Maybe,No
30-40,No,Yes,Two or more days a week,No,No,Yes,No,No
30-40,Yes,No,No,Often,Yes,Yes,No,Sometimes
18-30,Sometimes,Yes,No,Often,Not at all,Yes,No,Sometimes
30-40,No,Yes,Two or more days a week,Yes,No,Yes,No,Yes
40-45,Yes,Yes,Yes,Often,Yes,No,Maybe,No
40-45,Yes,Sometimes,Two or more days a week,No,Yes,No,Maybe,Sometimes
45-50,Yes,No,Two or more days a week,No,Not at all,Yes,No,Sometimes
45-50,Sometimes,Yes,Two or more days a week,Yes,No,Yes,Maybe,Sometimes
18-30,Yes,Yes,No,Often,Not at all,Yes,Maybe,Sometimes
30-40,Yes,No,Two or more days a week,No,No,Yes,Maybe,Sometimes
45-50,Sometimes,No,No,Often,No,Yes,Maybe,Yes
18-30,No,Sometimes,Two or more days a week,No,No,No,Yes,No
45-50,No,Sometimes,Yes,Often,No,Yes,No,No
45-50,Sometimes,Sometimes,Two or more days a week,No,No,No,Maybe,No
40-45,No,Yes,Two or more days a week,No,No,Yes,No,No
40-45,Yes,No,No,Often,Yes,Yes,No,Sometimes
40-45,Sometimes,Yes,No,Often,Not at all,Yes,No,Sometimes
40-45,No,Yes,Two or more days a week,Yes,No,Yes,No,Yes
40-45,Yes,No,Two or more days a week,No,No,Yes,Maybe,Sometimes
30-40,Sometimes,No,No,Often,No,Yes,Maybe,Yes
45-50,No,Sometimes,Two or more days a week,No,No,No,Yes,No
30-40,No,Sometimes,Yes,Often,No,Yes,No,No
45-50,Sometimes,Sometimes,Two or more days a week,No,No,No,Maybe,No
45-50,No,Yes,Two or more days a week,No,No,Yes,No,No
30-40,Yes,No,No,Often,Yes,Yes,No,Sometimes
45-50,Sometimes,Yes,No,Often,Not at all,Yes,No,Sometimes
30-40,No,Yes,Two or more days a week,Yes,No,Yes,No,Yes
40-45,Sometimes,Yes,Two or more days a week,Yes,No,Yes,Maybe,Sometimes
45-50,Yes,Yes,No,Often,Not at all,Yes,Maybe,Sometimes
45-50,Yes,No,Two or more days a week,No,No,Yes,Maybe,Sometimes
18-30,Sometimes,No,No,Often,No,Yes,Maybe,Yes
40-45,No,Sometimes,Two or more days a week,No,No,No,Yes,No
18-30,No,Sometimes,Yes,Often,No,Yes,No,No
45-50,Sometimes,Sometimes,Two or more days a week,No,No,No,Maybe,No
40-45,No,Yes,Two or more days a week,No,No,Yes,No,No
40-45,Yes,No,No,Often,Yes,Yes,No,Sometimes
40-45,Sometimes,Yes,No,Often,Not at all,Yes,No,Sometimes
30-40,No,Yes,Two or more days a week,Yes,No,Yes,No,Yes
40-45,Yes,No,Two or more days a week,No,No,Yes,Maybe,Sometimes
40-45,Sometimes,No,No,Often,No,Yes,Maybe,Yes
40-45,No,Sometimes,Two or more days a week,No,No,No,Yes,No
40-45,No,Sometimes,Yes,Often,No,Yes,No,No
40-45,Sometimes,Sometimes,Two or more days a week,No,No,No,Maybe,No
40-45,No,Yes,Two or more days a week,No,No,Yes,No,No
18-30,No,Sometimes,Yes,Often,No,Yes,No,No
40-45,Sometimes,Sometimes,Two or more days a week,No,No,No,Maybe,No
18-30,No,Yes,Two or more days a week,No,No,Yes,No,No
40-45,Yes,No,No,Often,Yes,Yes,No,Sometimes
45-50,Sometimes,Yes,No,Often,Not at all,Yes,No,Sometimes
18-30,No,Yes,Two or more days a week,Yes,No,Yes,No,Yes
18-30,Yes,No,Two or more days a week,No,No,Yes,Maybe,Sometimes
18-30,Sometimes,No,No,Often,No,Yes,Maybe,Yes
18-30,No,Sometimes,Two or more days a week,No,No,No,Yes,No
30-40,No,Sometimes,Yes,Often,No,Yes,No,No
30-40,Sometimes,Sometimes,Two or more days a week,No,No,No,Maybe,No
30-40,No,Yes,Two or more days a week,No,No,Yes,No,No
45-50,No,No,Yes,Often,No,Yes,No,No
18-30,Yes,Sometimes,Two or more days a week,Yes,No,No,Yes,Yes
18-30,Yes,Sometimes,Yes,Yes,Yes,No,Maybe,Sometimes
40-45,Sometimes,Yes,No,Yes,No,Yes,No,Sometimes
30-40,Yes,Yes,No,Often,Not at all,Yes,No,Sometimes
45-50,Sometimes,Yes,Two or more days a week,No,No,Yes,Yes,Yes
